Date,Open,High,Low,Close,Adj Close,Volume
2018-01-22,27.000000,27.459999,26.590000,26.950001,25.650047,4341800
2018-01-29,27.010000,27.820000,26.500000,26.600000,25.316929,8222200
2018-02-05,26.360001,26.660000,23.969999,24.639999,23.451471,12199600
2018-02-12,24.820000,26.280001,24.520000,26.110001,24.850561,8174000
2018-02-19,25.990000,26.020000,23.860001,24.209999,23.042212,10341200
2018-02-26,24.250000,26.200001,24.049999,25.930000,24.679247,17417900
2018-03-05,25.700001,26.209999,24.840000,26.170000,24.907667,9637000
2018-03-12,26.080000,27.510000,26.030001,26.660000,25.463169,9843700
2018-03-19,26.629999,27.379999,26.270000,26.320000,25.138433,11478700
2018-03-26,26.639999,28.000000,26.389999,27.280001,26.055338,6878400
2018-04-02,27.139999,28.070000,26.059999,27.450001,26.217703,10822900
2018-04-09,27.490000,27.940001,25.889999,26.070000,24.899656,8514400
2018-04-16,26.209999,26.709999,25.590000,25.850000,24.689533,7011200
2018-04-23,25.930000,25.959999,23.940001,24.920000,23.801283,9105000
2018-04-30,24.900000,25.150000,23.520000,24.820000,23.705770,15393600
2018-05-07,24.920000,26.520000,24.150000,24.730000,23.619812,10604100
2018-05-14,24.740000,24.930000,23.959999,24.540001,23.438343,7990100
2018-05-21,24.650000,24.969999,23.809999,23.980000,22.986900,6945400
2018-05-28,23.750000,24.150000,23.129999,23.280001,22.315889,7637600
2018-06-04,23.370001,24.680000,23.240000,24.660000,23.638739,5993400
2018-06-11,24.740000,25.080000,23.969999,24.680000,23.657913,6429700
2018-06-18,24.540001,24.670000,22.850000,23.740000,22.756840,8343600
2018-06-25,23.709999,23.709999,22.540001,22.799999,21.855768,7913900
2018-07-02,22.799999,23.719999,22.280001,23.290001,22.325478,3925900
2018-07-09,23.290001,23.740000,22.950001,23.219999,22.258375,5642600
2018-07-16,23.219999,23.590000,22.760000,23.469999,22.498022,6862900
2018-07-23,23.350000,23.469999,22.030001,22.350000,21.424406,7942600
2018-07-30,22.350000,24.870001,21.700001,23.959999,22.967730,13520200
2018-08-06,23.600000,24.420000,20.020000,21.219999,20.341204,14007100
2018-08-13,21.170000,21.480000,20.080000,21.240000,20.360374,9968500
2018-08-20,21.320000,21.750000,20.980000,21.190001,20.401016,6498100
2018-08-27,21.290001,21.860001,21.049999,21.389999,20.593569,4439700
2018-09-03,21.340000,21.510000,20.219999,20.240000,19.486387,5985400
2018-09-10,20.250000,21.410000,19.709999,20.620001,19.852242,20867200
2018-09-17,20.540001,21.000000,19.570000,20.590000,19.823357,44352400
2018-09-24,20.320000,20.900000,19.809999,20.639999,19.871496,10571700
2018-10-01,20.629999,20.940001,19.639999,19.730000,18.995378,11468500
2018-10-08,19.740000,20.200001,18.129999,18.219999,17.541599,10863800
2018-10-15,18.139999,19.549999,18.139999,18.700001,18.003729,11859400
2018-10-22,18.719999,18.770000,17.760000,18.500000,17.811174,14687200
2018-10-29,18.610001,20.139999,17.500000,17.760000,17.098730,22909600
2018-11-05,17.430000,19.290001,17.430000,18.190001,17.512718,12222400
2018-11-12,18.160000,18.309999,16.850000,17.370001,16.723249,12196800
2018-11-19,17.480000,18.639999,17.090000,18.459999,17.863342,7095600
2018-11-26,18.709999,19.730000,18.280001,19.260000,18.637486,12434800
2018-12-03,19.580000,19.670000,18.010000,18.700001,18.095587,6920800
2018-12-10,18.750000,18.879999,17.000000,17.360001,16.798897,8924800
2018-12-17,17.290001,17.450001,14.800000,14.880000,14.399055,14583800
2018-12-24,14.740000,16.190001,14.450000,15.410000,14.911923,6850200
2018-12-31,15.490000,16.290001,14.250000,16.080000,15.560268,9567000
2019-01-07,16.129999,17.740000,15.960000,17.690001,17.118231,7935800
2019-01-14,17.670000,18.670000,17.469999,18.290001,17.698837,6063700
2019-01-21,18.180000,18.280001,16.070000,17.059999,16.508593,8827700
2019-01-28,16.930000,17.879999,16.770000,17.530001,16.963404,8352700
2019-02-04,17.490000,17.990000,17.190001,17.309999,16.750513,4842600
2019-02-11,17.320000,18.350000,17.280001,18.330000,17.737545,8480800
2019-02-18,18.290001,18.440001,17.600000,18.190001,17.602070,6621000
2019-02-25,18.330000,18.530001,13.160000,13.380000,12.947536,29871800
2019-03-04,13.500000,13.610000,11.970000,12.270000,11.873414,16800100
2019-03-11,12.220000,12.450000,11.480000,11.710000,11.414360,12192100
2019-03-18,11.730000,12.020000,11.040000,11.800000,11.502088,13742800
